name,s1_name,s1_type,s1_price,s2_name,s2_type,s2_price,s3_name,s3_type,s3_price,s4_name,s4_type,s4_price,stickers_json
"Desert Eagle | Tilted (Minimal Wear)","Sticker | Chompers","STICKER",22,"Sticker | Hypnoteyes (Holo)","STICKER",87,"","",,"","",,"[{""name"":""Sticker | Chompers"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Hypnoteyes (Holo)"",""type"":""STICKER"",""price"":87}]"
"StatTrak™ M4A4 | Magnesium (Well-Worn)","Sticker | CS20 Classic (Holo)","STICKER",87,"","",,"","",,"","",,"[{""name"":""Sticker | CS20 Classic (Holo)"",""type"":""STICKER"",""price"":87}]"
"StatTrak™ P250 | Ripple (Minimal Wear)","Sticker | Temperance","STICKER",10,"Sticker | StarLadder (Holo) | Berlin 2019","STICKER",87,"Sticker | flamie | Berlin 2019","STICKER",11,"","",,"[{""name"":""Sticker | Temperance"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | StarLadder (Holo) | Berlin 2019"",""type"":""STICKER"",""price"":87},{""name"":""Sticker | flamie | Berlin 2019"",""type"":""STICKER"",""price"":11}]"
"M4A4 | Urban DDPAT (Minimal Wear)","Sticker | Plopski (Holo) | Antwerp 2022","STICKER",78,"","",,"","",,"","",,"[{""name"":""Sticker | Plopski (Holo) | Antwerp 2022"",""type"":""STICKER"",""price"":78}]"
"StatTrak™ Glock-18 | Off World (Minimal Wear)","Sticker | Spirit (Holo) | 2020 RMR","STICKER",75,"Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"[{""name"":""Sticker | Spirit (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":75},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"Desert Eagle | Light Rail (Field-Tested)","Sticker | Booth","STICKER",10,"Sticker | My Other Awp","STICKER",65,"Sticker | My Other Awp","STICKER",65,"Sticker | BLAST.tv (Holo) | Paris 2023","STICKER",23,"[{""name"":""Sticker | Booth"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | My Other Awp"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | My Other Awp"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | BLAST.tv (Holo) | Paris 2023"",""type"":""STICKER"",""price"":23},{""name"":""Sticker | STYKO (Glitter) | Copenhagen 2024"",""type"":""STICKER"",""price"":18}]"
"M4A1-S | Wash me plz (Factory New)","Sticker | Say Cheese (Holo)","STICKER",65,"","",,"","",,"","",,"[{""name"":""Sticker | Say Cheese (Holo)"",""type"":""STICKER"",""price"":65}]"
"M4A4 | Turbine (Field-Tested)","Sticker | G2 (Holo) | 2020 RMR","STICKER",22,"Sticker | Astralis (Holo) | 2020 RMR","STICKER",65,"","",,"","",,"[{""name"":""Sticker | G2 (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Astralis (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":65}]"
"MAC-10 | Light Box (Factory New)","Sticker | Team Spirit | Shanghai 2024","STICKER",10,"Sticker | MOUZ | Shanghai 2024","STICKER",10,"Sticker | BIG | Shanghai 2024","STICKER",10,"Sticker | Say Cheese (Holo)","STICKER",65,"[{""name"":""Sticker | Team Spirit | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | MOUZ | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BIG | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Say Cheese (Holo)"",""type"":""STICKER"",""price"":65}]"
"P250 | Ripple (Factory New)","Sticker | Liquid (Holo) | 2020 RMR","STICKER",65,"Sticker | Team Liquid | Antwerp 2022","STICKER",10,"Sticker | Team Liquid | Antwerp 2022","STICKER",10,"Sticker | Team Liquid (Glitter) | Shanghai 2024","STICKER",22,"[{""name"":""Sticker | Liquid (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | Team Liquid | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Team Liquid | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Team Liquid (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | From The Deep"",""type"":""STICKER"",""price"":14}]"
"StatTrak™ Glock-18 | Umbral Rabbit (Battle-Scarred)","Sticker | Hippocamp (Holo)","STICKER",65,"Sticker | Toxic","STICKER",44,"","",,"","",,"[{""name"":""Sticker | Hippocamp (Holo)"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | Toxic"",""type"":""STICKER"",""price"":44}]"
"Desert Eagle | Tilted (Minimal Wear)","Sticker | BLAST.tv | Paris 2023","STICKER",10,"Sticker | bLitz (Holo) | Copenhagen 2024","STICKER",44,"Sticker | BLAST.tv | Paris 2023","STICKER",10,"","",,"[{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | bLitz (Holo) | Copenhagen 2024"",""type"":""STICKER"",""price"":44},{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"USP-S | Check Engine (Minimal Wear)","Sticker | Aleksib (Glitter) | Antwerp 2022","STICKER",10,"Sticker | karrigan (Glitter) | Shanghai 2024","STICKER",10,"Sticker | karrigan | Rio 2022","STICKER",10,"Sticker | Fnatic (Holo) | 2020 RMR","STICKER",44,"[{""name"":""Sticker | Aleksib (Glitter) | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | karrigan (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | karrigan | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Fnatic (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":44},{""name"":""Sticker | 100 Thieves (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"AK-47 | VariCamo Grey (Minimal Wear)","Sticker | STYKO (Holo) | Paris 2023","STICKER",40,"","",,"","",,"","",,"[{""name"":""Sticker | STYKO (Holo) | Paris 2023"",""type"":""STICKER"",""price"":40}]"
"AK-47 | Uncharted (Minimal Wear)","Sticker | Ancient Marauder","STICKER",22,"Sticker | Coiled Strike","STICKER",39,"Sticker | Coiled Strike (Holo)","STICKER",1.53,"Sticker | Coiled Strike","STICKER",39,"[{""name"":""Sticker | Ancient Marauder"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Coiled Strike"",""type"":""STICKER"",""price"":39},{""name"":""Sticker | Coiled Strike (Holo)"",""type"":""STICKER"",""price"":1.53},{""name"":""Sticker | Coiled Strike"",""type"":""STICKER"",""price"":39},{""name"":""Sticker | Vitality | Shanghai 2024"",""type"":""STICKER"",""price"":10}]"
"P90 | Chopper (Battle-Scarred)","Sticker | Virtus.pro | 2020 RMR","STICKER",10,"Sticker | BIG (Holo) | 2020 RMR","STICKER",34,"Sticker | Virtus.pro | 2020 RMR","STICKER",10,"Sticker | Virtus.pro | 2020 RMR","STICKER",10,"[{""name"":""Sticker | Virtus.pro | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BIG (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":34},{""name"":""Sticker | Virtus.pro | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Virtus.pro | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Abyss (Minimal Wear)","Sticker | FalleN | Copenhagen 2024","STICKER",25,"Sticker | FURIA (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"[{""name"":""Sticker | FalleN | Copenhagen 2024"",""type"":""STICKER"",""price"":25},{""name"":""Sticker | FURIA (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
